Metabolite,Vip_plsda,Vip_oplsda,P_value,fdr,FC,NOP_1_V,NOP_2_V,NOP_3_V,NOP_4_V,NOP_5_V,NOP_6_V,NOP_7_V,NOP_8_V,NOP_9_V,NOP_10_V,NOP_11_V,NOP_12_V,NOP_13_V,NOP_14_V,NOP_15_V,NOP_16_V,NOP_17_V,NOP_18_V,NOP_19_V,NOP_22_V,NOP_23_V,NOP_24_V,NOP_26_V,NOP_27_V,NOP_30_V,NOP_31_V,P_1_V,P_2_V,P_4_V,P_6_V,P_8_V,P_9_V,P_15_V,P_16_V,P_17_V,P_18_V,P_19_V,P_20_V,P_21_V,P_22_V,P_23_V,P_25_V,P_26_V,P_27_V,P_28_V,P_29_V,P_30_V,P_32_V,P_33_V,P_35_V,P_36_V,P_37_V,P_38_V,P_42_V,P_43_V,P_44_V,P_45_V,P_46_V
Dehydroepiandrosterone sulfate,1.562801997,1.686449168,0.0287,0.1855,1.146545708,1.15597812,1.530352154,1.516790011,1.902971361,2.047396787,1.042485477,1.691998692,1.199946726,1.443081654,1.012477076,1.358983538,1.642918527,1.525959102,0.927798608,1.122008659,1.605761347,1.232723151,1.4611148,1.634462152,2.109656093,1.524259581,1.365514615,1.241112636,1.646733652,1.035104161,1.282068581,1.932120272,1.868343834,1.374105194,0.379772756,2.032167231,1.455276766,1.750933475,2.016381361,1.697568712,1.393995521,1.3956002,1.335708842,1.842108941,1.76787116,1.565431161,1.60644223,1.980853084,1.942581023,1.800979913,1.952581511,1.389508345,2.303306232,1.395929909,1.862128068,1.671583561,1.785447079,1.449946148,2.087477834,1.578189546,1.739075586,1.550882842,0.660588864
"2-(2,6-dihydroxy-3,4-dimethoxycyclohexylidene)acetonitrile",1.526398181,1.662923963,0.005225,0.05871,0.907466496,1.733446852,1.617043755,1.710620731,1.710214418,1.662274792,1.546585761,1.298986189,1.523512837,1.94033666,1.70754015,1.521896941,1.534688299,1.528494993,1.664286707,1.791934263,1.83491105,1.833931379,1.286028679,1.277794042,1.306916296,1.576953788,1.75011143,1.212866886,1.240271331,1.569537532,1.372437428,1.551792824,1.276054367,1.261049936,1.132990628,1.522909964,1.43808627,1.43753245,1.652956934,1.371602554,1.007595289,1.408618992,1.530057179,1.374208184,1.482778931,1.339498342,1.614226147,1.097949025,1.281138517,1.354924915,1.571510441,1.554807914,1.678836458,1.625735898,1.460471224,1.227733832,1.118283749,1.627635209,1.575638374,1.552111439,1.453424801,1.432782476,1.500982643
Alpha-Teresantalic acid,1.063183031,1.165349793,0.04666,0.2494,0.955268817,2.45576903,2.216982088,2.525545069,2.602534242,2.610705889,2.575994757,2.378302586,2.442607074,2.210999535,2.262609771,2.280919667,2.062116707,2.536775757,2.20667213,2.345515042,2.355573091,2.200207413,2.030448745,2.590393385,2.128944651,1.885058945,2.106119842,2.276578306,2.270850001,2.494238181,2.39033924,1.89454933,2.192384748,2.188329212,2.199756295,2.21216208,2.395735624,2.318730394,2.507232081,2.273976201,2.037482344,2.215122056,2.281958613,2.274122814,2.316177425,2.321447734,2.165391154,2.356483593,2.583000546,2.156013098,1.976019365,2.021934744,2.392821715,2.29074157,2.412048838,2.137561212,1.833373044,2.202627422,1.709171659,2.101277633,2.363742375,2.285676316,2.459720233
4-(2-Nitroethyl)phenyl primeveroside,1.708433862,1.919162849,0.01322,0.1097,1.222064202,1.020138606,0.032525843,1.429728654,0.729734211,0.755010933,0.609623591,0.666442158,0.83045877,0.744483317,0.932216676,1.08465743,1.070550534,1.42768603,1.395570948,0.73794583,0.994521189,1.177218004,1.344185224,0.966960423,1.294104957,1.336591251,0.404381522,0.671093075,1.462340141,1.266453189,1.210814213,1.105829664,0.822681222,0.966549475,1.039727392,1.420738551,1.787346684,1.514249639,1.132811281,1.631350118,0.922746269,1.552650581,1.373504604,1.021707835,1.022186651,1.311482266,0.956622014,0.651445978,1.273316794,1.247207809,0.927795342,1.366009268,1.884705785,1.305744761,0.996801107,1.358642664,0.652276979,1.011177241,1.114630043,1.430355335,1.053580067,1.223328896,1.430725343
Cynaroside A,1.693520025,1.768045116,0.01551,0.122,1.210597968,0.000155112,1.139432399,1.152719367,0.744925171,1.287098397,0.873020807,0.668693717,0.587471987,0.965494289,1.025056847,1.459837072,1.21533298,1.102371924,0.356569493,0.747156241,1.152276238,0.46352635,1.1872244,1.00268027,1.239264557,1.231646232,1.173125099,1.116165684,0.988026337,0.979586119,0.968552237,1.180060202,1.249311515,0.616644362,0.858054042,1.553803426,0.292923043,1.219478029,1.4021841,0.89345958,1.04274875,1.359221916,1.088293963,1.21666188,1.334630287,1.54152047,0.8444225,1.32032492,1.470803756,1.490551652,1.038263004,1.18621901,0.975888152,1.040062995,1.120815746,1.390395297,1.103461201,1.498250743,1.46407583,1.267213798,1.105206651,1.073854078,0.749146944
Indoleacetic acid,1.405483536,1.460799183,0.04277,0.2361,1.055438891,2.203590158,1.954089408,2.155321651,2.072580329,2.553766343,2.137208847,1.942403832,2.539054175,2.218714561,2.280721642,2.062230477,2.476459823,2.390067098,2.473232434,2.354475131,2.704098174,2.870984689,2.795104148,2.598728088,2.631574976,2.441213925,2.535615684,2.270977988,2.283684803,2.479567359,2.483155525,2.571074563,2.489535628,2.642290158,2.318049113,2.296439462,2.417055647,2.72892438,2.3414744,2.242819044,2.439038877,2.711242806,2.906841318,2.656670419,2.650284847,2.498372903,2.405727142,2.168376287,2.226422831,2.414870319,2.514932597,2.121782698,2.066172815,2.579108151,2.621451122,2.336879784,2.243638759,2.824834227,2.672849655,2.832516432,2.912142998,2.698635917,2.874255958
2-Methylindoline,1.878565433,2.263463426,0.0234,0.1634,1.207025411,1.583180015,0.276091665,1.163368584,0.472925041,1.732622845,0.633700037,0.9890659,1.641203225,0.317867727,1.132227892,0.297087959,1.745564903,1.57228735,1.675668798,1.32952142,1.994013761,2.033358021,1.641825447,1.470843817,1.780404875,1.488729069,1.469315118,1.463972771,1.471239521,1.587628231,1.824517981,1.675600144,1.70578252,1.801467594,1.374712701,0.860081088,1.431880047,1.934997199,1.075602406,1.574970489,1.598274007,1.98519246,2.090012801,1.950781854,1.890307242,1.602496514,1.64052367,0.436688176,1.111710863,1.582051726,1.721679572,1.098340341,1.414405347,1.668690523,1.448475155,1.594393661,1.642994208,2.069931357,1.924875762,2.05876663,2.027500859,1.793847392,1.896242425
Gamma-Glutamylphenylalanine,1.633051878,1.733566474,0.04006,0.2261,0.795054484,2.101432342,1.041022997,0.706469124,1.339950941,0.743735595,0.777434724,1.565463364,0.284360515,0.881820429,1.061901656,1.300898955,1.400547714,1.452895608,1.843298829,1.2131065,1.262872436,1.455871355,0.719793479,0.947121298,1.449822708,1.094047506,1.568383242,1.504114064,0.640759443,1.392419629,1.274238427,1.219608269,1.792522464,1.362109402,0.060096621,0.426615069,0.852486249,0.063577489,0.816877611,1.177471077,0.243925481,0.747562236,0.784579899,0.963368652,0.954518819,0.534387626,1.524459528,0.053967934,1.320134073,1.223351777,1.325791494,0.930478529,1.420487398,1.054738946,0.926645287,1.025862135,1.212591131,1.351731723,0.883586785,0.369229288,1.779957034,1.24602262,0.704695384
Zearalenone 4-sulfate,1.441621438,1.476485846,0.03821,0.2214,1.183366512,0.790082923,0.995045738,0.970147911,0.987293029,0.864155264,0.453405316,0.830681136,0.965606881,0.952689201,0.850624633,0.223579836,1.175191776,1.247024439,0.942442335,0.84886414,1.319827094,0.635353466,1.27899907,0.836388971,0.72315997,1.072984885,0.214482614,1.231874857,0.904332139,1.233313768,0.96043946,0.836484751,0.973029125,0.928555791,0.85203798,1.298874047,1.22767055,1.210518375,1.441319616,1.217115529,1.543508582,1.087996665,0.378659958,1.123398635,1.261246202,1.001562465,0.991109467,1.363165402,0.624098992,0.990946538,1.328189356,1.421392027,1.209982195,0.961669976,1.021778518,1.36570311,1.512476297,0.976110543,1.377323194,0.845978336,0.633388053,0.88467137,0.346484584
L-Phenylalanine,0.782320325,0.770971428,0.03842,0.2216,0.987629459,3.66111914,3.497742167,3.546416985,3.537246151,3.365095131,3.520197494,3.562895553,3.348247835,3.461976752,3.473092316,3.58017513,3.443346607,3.466681776,3.603363671,3.528352342,3.408650615,3.493713431,3.342177649,3.371764976,3.349793199,3.402998637,3.534465127,3.449826762,3.406695505,3.55016824,3.466844061,3.508569758,3.60886458,3.445199041,3.435755346,3.361903049,3.413972162,3.492946087,3.392590048,3.498736438,3.53781909,3.464294157,3.447501641,3.4186615,3.352768162,3.35127218,3.448005099,3.464856085,3.465887518,3.327260709,3.419138776,3.538436732,3.442270971,3.42382223,3.393441383,3.312735046,3.487706559,3.414941738,3.502141616,3.394184175,3.420236246,3.335404811,3.332114974
Kynurenine,1.058346694,1.240744602,0.01597,0.1245,0.93687231,1.45445164,1.401731664,1.594514676,1.507274978,1.14322057,1.452078254,1.635950359,1.341194647,1.562435331,1.42317302,1.57048293,1.42225301,1.198955766,1.255559508,1.339917326,1.425700883,1.409718864,1.454552098,1.511764896,1.340373662,1.272515021,1.241543209,1.38290047,1.323302691,1.361453363,1.227943115,1.118056793,1.196611269,1.313485435,1.464970573,1.279608968,1.565248388,1.239243626,1.183608716,1.538030663,1.517131285,1.193398636,1.444055616,1.284015131,1.094132831,1.242769368,1.415459141,1.191040571,1.22026914,1.128235811,1.332333795,1.296344702,1.624134303,1.420383903,1.239759483,1.336583029,1.323492883,1.076357532,1.471772371,1.242491048,1.23926481,1.27967453,1.28544482
3-Methyluridine,1.29648913,1.52038121,0.008165,0.07734,0.935108153,2.198264705,1.767402386,1.930262282,1.628955778,1.824615927,2.076663626,1.966675827,1.560455162,1.616127766,1.671591498,2.125942316,1.758382632,1.818524011,1.822990509,1.519888546,1.746493596,1.742876949,1.7091152,1.644930252,1.648799016,1.844117719,1.764679168,1.798937141,1.899553686,1.951749152,1.839193105,1.505690518,1.551858144,1.772825078,1.847274805,1.717565797,1.585930719,1.831792104,1.79060547,1.6913423,1.950554366,1.78933415,1.449689926,1.75679973,1.741623367,1.77466317,1.760306994,1.652839366,1.788446664,1.520856903,1.742424954,1.725488666,1.66649015,2.027440679,1.542051619,1.693375682,1.524085636,1.61944996,1.552632556,1.72962458,1.224429105,1.818749579,1.60941551
Hypoxanthine,0.946344698,1.29409473,0.0408,0.1776,0.952030812,3.839324457,2.89338093,2.857738135,2.551615953,2.74891562,2.724425241,2.910281632,2.624712657,2.619578675,2.695715545,2.836145447,2.7975541,2.788964427,3.473621871,2.582679421,2.733544824,2.791650027,2.856159748,2.85637757,2.949287623,2.859562733,3.252073712,2.917991454,2.602176473,2.71043544,2.77924368,2.536600001,3.580701102,2.93249949,2.744329774,2.766246791,2.607181596,2.640110117,2.518455357,2.491336483,2.80664225,2.82044421,2.563197406,2.680583022,2.454768774,2.716533106,2.92763049,2.57047806,2.824360766,2.664700931,2.551013387,2.777477685,2.920401606,2.557188981,2.712214155,2.425694903,2.812957999,2.609939056,2.519347897,2.659544873,2.838269146,2.991564819,2.780330535
2-Linoleoyl Glycerol,2.029532742,1.896196751,0.006485,0.06799,1.083662478,3.06335007,2.829663748,2.812788403,2.247073729,2.134137868,2.53488719,3.035982818,2.557700033,1.998601248,2.886810376,2.683415221,2.822966765,2.761253873,3.286904152,2.613965731,2.929906181,2.782914985,2.720736806,2.478746266,2.95870032,3.184073947,2.85151066,2.749248651,2.758299659,3.315722235,3.421804732,3.275086309,3.842881122,3.154922862,3.17027866,2.297711176,2.726718071,2.933385572,3.024467414,3.150589122,3.043660399,2.486960709,2.815560203,2.761955588,2.913477148,2.932616698,3.126625316,3.124572301,2.846672105,2.823509427,3.149926346,3.163704927,3.093808764,3.129659132,2.991529686,3.37836925,2.905494006,3.209812556,3.363967007,2.642580929,2.996984985,3.291297079,2.803875734
MG(18:1(9Z)/0:0/0:0)[rac],1.441919207,1.317122213,0.02649,0.1422,1.045570427,3.295376851,3.163939332,3.118624499,2.887650464,2.636974578,2.834535527,3.406166433,3.100518017,2.585193479,3.067000453,3.075387732,3.010112147,3.237071747,3.547151525,2.982446521,3.292489596,3.078163354,2.982213067,2.994221724,3.228847318,3.375434601,3.263228215,3.175206195,3.150174483,3.531829478,3.568866844,3.415209891,3.950454758,3.372241513,3.339294656,2.802949647,3.110279342,3.195501901,3.257658768,3.204005497,3.354631536,3.117082712,3.04556286,3.200062301,3.22681789,3.284122037,3.357309147,3.319384465,2.863970243,3.293168398,3.383180368,3.434505275,3.469923357,3.374109636,3.245478876,3.473006581,3.249933212,3.315472083,3.73522876,3.028186259,3.156821858,3.505399797,2.906697315
PE(18:0/0:0),0.798974586,1.100184166,0.02818,0.1469,1.017889908,4.291046295,4.323358368,4.287287506,4.273098691,4.157280759,4.381595903,4.437157879,4.455447242,4.274978927,4.316147298,4.194069892,4.351114624,4.128475809,4.501148928,4.28214648,4.305373214,4.391047218,4.273816343,4.326893527,4.480108199,4.538358877,4.363535403,4.502375617,4.238205689,4.639167168,4.647514014,4.593245732,4.530116778,4.437558558,4.388448007,4.211529144,4.193678467,4.206531792,4.413056462,4.399345728,4.401890631,4.423513148,4.84581542,4.440124098,4.518420878,4.462779585,4.537082844,4.400079192,4.459234706,4.470775944,4.54261666,4.457094057,4.561913124,4.334912836,4.384765139,4.567929419,4.509068476,4.442289747,4.552210937,4.292534778,4.323591238,4.447416423,4.277933183
Nicotyrine,0.770293487,0.722708962,0.04755,0.1924,1.029977794,2.967550763,2.632235267,2.607462067,2.651543331,2.33357295,2.437742441,2.695488843,2.581877618,2.61772077,2.677842045,2.856547281,2.58344944,3.088258309,2.777385724,2.664404414,2.741928702,2.708249922,2.768521674,2.713786423,2.72277395,2.85726557,2.483767773,2.548966808,2.840509001,2.892455693,2.793255547,2.453465075,2.705749724,2.488363074,2.727574144,2.767460172,2.687471594,2.847528317,2.80767944,2.751642598,2.68600774,2.988096605,2.475875424,2.646113268,2.653469473,2.925231289,2.727437801,2.752372216,2.796271853,2.771487221,2.756691605,2.803160307,2.923198258,2.917583497,2.9675848,2.923575511,2.896198713,2.778143251,2.814492752,2.994590324,2.888500535,2.904469908,2.813074966
PE(16:0/0:0),0.852578368,1.307976433,0.005226,0.0608,1.021916412,3.890439605,3.905695559,3.941261187,3.884909499,3.741256671,4.032445835,3.979345932,4.044011106,3.873881557,3.991338653,3.820541133,3.882361042,3.645085073,3.965446348,3.839945515,3.867797165,3.94914705,3.926090316,3.759139428,3.972537756,4.077776556,3.88480241,3.948047626,3.945606189,4.148301047,4.101489876,4.1560616,4.038666046,3.995392573,4.014774733,3.787474054,3.859070843,3.865025779,4.083348656,3.872556281,4.021133187,3.983071786,4.312529476,3.975363697,4.040735877,4.068365247,4.06888141,3.97034236,4.034632654,4.029071278,4.115666132,4.013653362,4.105063533,3.885595042,4.002966741,4.207883265,4.104595187,4.046094697,4.047496544,3.844070378,3.972236373,3.984538933,3.819610315
1-Monopalmitin,1.718593854,1.972985777,0.02466,0.1373,1.137791287,2.286355102,1.805975996,1.96829538,1.38346193,0.153249373,1.36801807,2.282734596,2.114224924,1.843299889,2.061658581,1.950331685,1.729969036,2.137728159,2.719012323,1.864089526,2.292146833,2.279634991,1.822366658,1.911151709,1.595819573,2.452131816,2.216421745,2.264695413,1.892821022,2.439882494,2.495985573,2.561003206,3.177074063,2.234167506,2.130091037,1.030220445,1.922474468,2.212854727,2.029981287,1.938661152,2.549313067,2.009790999,2.389831336,2.245171618,2.159607971,2.234905273,2.515425711,2.341370495,1.730948041,2.065424649,2.516119974,2.460822831,2.420074378,2.244198822,2.202585963,2.675328208,2.307170656,2.444459658,3.02996469,1.881824041,2.212319618,2.477507607,1.527646321
Muramic acid,1.442091431,1.609039661,0.02036,0.1246,1.137175325,1.484368513,1.335712443,1.321126147,1.524590649,1.446413115,0.629180354,0.534577822,1.490348685,2.061598779,1.076537778,1.548922848,1.440936984,0.841712841,1.14804043,1.094530535,1.441559683,1.103892206,1.139449307,1.173774683,1.150946364,1.215324806,1.105889512,1.050539312,1.228554113,0.919488518,1.526694873,1.189803398,1.257267753,1.389402521,1.542263926,1.247725604,1.506976089,1.506837888,1.383807319,1.360104104,1.84142113,0.95618632,1.41338235,1.637677896,1.187570292,1.14573405,1.411418399,1.580292033,1.641113454,1.094820909,1.219703961,1.388209052,1.364512801,1.283318316,1.107468953,1.920156134,1.382025884,1.760848954,1.354839608,1.198588656,1.676781677,1.362935787,1.519993429
L-argininium(1+),2.001211269,2.050525151,0.001052,0.02464,0.881431767,1.779911278,2.056836066,1.677780525,1.841258429,1.648907117,1.781359366,1.690544814,1.768929231,1.936030109,1.814522505,1.437987382,2.063289421,2.038764565,2.061507312,1.490601582,1.850972436,1.877265499,2.103133333,1.708013404,1.565264638,1.811768191,1.469705339,1.636493209,1.832626854,1.745306853,1.805762134,1.254442888,1.64054787,1.491810403,1.453857423,1.519985583,1.411635445,1.65882036,1.637164226,1.74017745,1.982769295,1.658198611,1.901890032,1.692648383,1.420625676,1.812368826,2.041261758,1.567310281,1.673011721,1.749394059,0.944081684,1.563167544,0.835038542,1.778114537,1.83153495,1.297882184,1.530667256,1.894379663,1.539912136,1.601723414,1.612803256,1.387154125,1.301124743
Proline betaine,1.587985884,1.672810922,0.03797,0.1713,1.11674899,1.908235066,2.87720014,1.534563088,2.604418884,1.791742236,2.59794886,2.423702903,2.295587591,2.224593111,1.676930308,2.087555333,1.895791936,2.199692865,2.811747148,2.087693785,1.936038726,1.678194555,1.897297647,2.782209913,1.929246542,2.318462343,2.208604028,2.399180677,2.652247603,2.154612369,2.923633153,2.345359566,2.358089254,2.157918865,3.056374312,2.024244016,2.165692007,2.151916703,3.18390437,1.93234559,2.472953109,2.518525709,2.577808452,2.174355057,3.715898555,1.976497269,3.60124124,2.158565057,1.946556285,2.201466687,3.447428399,2.937934674,2.668735367,1.823767433,2.72989265,2.398791433,3.109726839,2.531262082,2.20180519,2.678432901,2.539829463,1.807563571,2.002601505
Isovaleric acid,1.313016437,2.011977531,0.01712,0.1149,1.139524032,2.131956984,1.071206544,1.456802828,1.680624188,2.344849236,1.022451688,1.209648365,2.618198575,1.89577716,2.230205222,1.227023789,2.549561731,2.347872027,2.380352581,2.102423017,2.839846121,2.786087834,2.759566884,2.465798066,2.748745885,2.454705533,2.24089368,1.913154472,2.265037243,2.552413014,2.431533277,2.463712866,2.595423804,2.65039599,2.116142854,2.201696031,1.995983265,2.823382559,2.447161825,2.103456547,2.72121663,2.677984987,2.871746874,2.858254587,2.684840684,2.588771394,2.621391737,1.894121197,1.593246949,2.349630367,2.577058933,1.683755319,1.617512511,2.490296489,2.571778407,2.131514315,2.43738445,2.849522505,2.601543568,2.880965736,2.816257263,2.524339676,2.713709181
5a-Androst-3-en-17-one,1.045483541,1.669633991,0.01838,0.119,1.085087326,2.055764597,2.682718733,2.170303029,2.455588752,2.248738283,2.092994594,2.274200787,2.40303349,2.39205557,2.117520365,1.994745027,2.25356011,2.263062145,1.658102001,1.880720804,2.612649673,2.118479747,2.287092849,2.292785057,2.844894659,2.694370132,1.756943312,1.483292553,2.312401928,2.266372634,2.441673083,2.284674386,2.93930833,2.529614028,2.128589662,2.163191622,1.836842934,2.508703618,2.648381846,2.35841806,2.504692134,2.027998221,2.62341628,2.743088403,2.642144782,2.826508107,2.342078111,2.301517312,2.441723518,1.888797552,2.808590361,2.577547632,2.454899647,2.025570038,2.504015429,2.448570891,2.537776614,2.662126852,2.851433638,2.377312777,2.251568761,2.173107362,2.129582341
Ethylparaben,0.561659729,0.901751744,0.007723,0.07608,1.015556938,3.246496103,3.275665713,3.29507877,3.20970453,3.113803506,3.17394074,3.166759703,3.28724133,3.16313747,3.189760342,3.123148641,3.131978224,3.16454906,3.163729057,3.26174088,3.288625574,3.182814242,3.292314772,3.163211095,3.234406306,3.329749074,3.182538949,3.16325334,3.267914248,3.212738685,3.280597295,3.418434072,3.347777261,3.132093052,3.174410719,3.224849797,3.26847621,3.245419042,3.162507,3.129761945,3.14106063,3.227773822,3.374736718,3.317770634,3.244676322,3.301118802,3.361160347,3.292272056,3.310568963,3.205913771,3.22277238,3.352541653,3.345849224,3.243003998,3.285847173,3.18620843,3.344971067,3.229590759,3.296979807,3.265680016,3.317195833,3.257921819,3.233618342
Palmitoyl-L-carnitine,0.646542871,0.956054671,0.01368,0.1025,1.017636684,4.006202564,4.033130523,4.054302037,4.008544612,3.747847377,3.585974737,4.01759605,4.100997655,3.849037713,4.034553477,3.916130392,3.887657668,3.944332907,4.015256281,3.933705275,4.072979687,3.950598942,4.117460847,3.963216619,4.102151413,4.007582618,3.938593507,4.002111551,3.944999039,4.014994068,3.954291208,4.049919346,4.055224963,4.053995985,3.9465501,3.979530304,4.016120987,3.955291913,4.050802007,3.864223987,4.047503567,4.12793585,4.181132897,4.088571435,3.873522935,4.129556585,3.955537838,3.843258388,3.949411126,4.148465659,4.050405991,4.093997627,4.172849485,3.981936229,4.114122921,4.009688838,4.110603221,4.086685768,4.072736013,4.033475887,4.052850886,4.237301161,3.909150249
1-AG,1.222813482,1.293721951,0.03049,0.1524,1.067690831,2.276528986,2.239460294,2.246888829,1.926683576,1.46858101,1.848464388,2.36071281,2.230352101,1.639889008,2.099654915,2.099039325,1.96340444,2.168357191,2.299377813,1.874148171,2.19554309,1.997928062,1.958925616,1.947719345,1.935173479,2.221188907,2.135514637,1.964785587,2.242099755,2.352958169,2.461700129,2.52389647,2.859077509,2.517553386,2.135429271,1.75336816,2.131811303,2.070435881,2.230916326,2.144024037,2.15963465,1.929830871,2.233764362,1.867515279,2.227534846,2.294161357,2.35598594,2.324767182,1.692122493,2.363178501,2.128592587,2.335561552,2.188499903,2.001182022,2.141581603,2.543298949,2.276632096,2.312306585,2.613294032,1.928305803,2.090873887,2.535421157,2.262445633
Bis(2-ethylhexyl) phthalate,0.737723052,1.225613181,0.04226,0.1795,1.031485468,3.458468412,3.801670005,3.915581223,3.694472421,3.930968832,3.629596513,3.673765988,4.203400078,3.849377576,3.540204574,3.502087135,3.365423029,3.755616018,3.531083984,3.852932942,3.578199288,3.545799244,3.628097074,3.778806318,3.625154142,3.508124005,4.041179604,3.721974148,3.578238535,4.027331208,3.876289638,4.044143444,3.791438985,3.8758207,3.558675843,4.163054235,3.737799292,3.893064905,3.694650574,3.463122807,3.747961654,3.535062505,4.208456879,3.654071823,3.902017141,3.748038691,3.638430139,3.426228395,3.775237456,3.676697549,3.803027863,3.952673378,3.727139351,3.726359012,4.016637801,3.959720033,4.36524776,3.857079917,4.208536047,3.944993526,4.033524931,3.779377464,3.732633018
Glycerophosphocholine,0.904968031,1.018570429,0.0287,0.1483,1.023152877,2.967372595,2.918586944,2.805318241,2.768488564,2.803164827,2.803591216,3.03659203,3.014773247,3.132189746,2.98626167,2.804550634,2.917734246,2.718709295,3.172889382,2.890827814,2.772048461,2.872115831,2.948654323,3.066136204,2.996576839,3.122891949,2.875551335,3.048489079,2.84614848,3.009177258,3.071386498,3.189400259,3.170883391,2.864337226,2.96526106,2.821303852,2.915437799,3.009073853,3.021625202,3.005326052,2.96851381,2.930346498,3.066981686,2.891014046,2.948306257,2.979997657,3.061720951,3.151951701,3.108850754,2.974263291,3.101395074,3.028232172,2.942106754,2.958929911,3.088396655,3.239328375,3.016230191,3.071617686,2.990000632,2.820674732,3.040213057,2.904602076,2.904459895
